,books_id,language_code,average_rating,deskripsi,penerbit,jml_halaman,tahun_terbit,url,image,judul,penulis,isbn,genre
0,1,eng,3.49,"Addie Downs and Valerie Adler were eight when they first met and decided to be best friends forever. But, in the wake of tragedy and betrayal during their teenage years, everything changed. Val went on to fame and fortune. Addie stayed behind in their small Midwestern town. Destiny, however, had more in store for these two. And when, twenty-five years later, Val shows up at Addie's front door with blood on her coat and terror on her face, it is the beginning of a wild adventure for two women joined by love and history who find strength together that they could not find alone.",Atria Books,368.0,2009.0,https://www.goodreads.com/book/show/6066819-best-friends-forever,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Best Friends Forever,Jennifer Weiner,9780743294294,"['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'Adult Fiction', 'Adult', 'Audiobook']"
1,5,eng,4.43,"In Newbery Medalist Cynthia Rylant's classic bestseller, the author comforts readers young and old who have lost a dog. Recommended highly by pet lovers around the world, Dog Heaven not only comforts but also brings a tear to anyone who is devoted to a pet. From expansive fields where dogs can run and run to delicious biscuits no dog can resist, Rylant paints a warm and affectionate picture of the ideal place God would, of course, create for man's best friend. The first picture book illustrated by the author, Dog Heaven is enhanced by Rylant's bright, bold paintings that perfectly capture an afterlife sure to bring solace to anyone who is grieving.",Blue Sky Press,40.0,1995.0,https://www.goodreads.com/book/show/89378.Dog_Heaven,https://images.gr-assets.com/books/1360057676m/89378.jpg,Dog Heaven,Cynthia Rylant,9780590417013,"['Picture Books', 'Childrens', 'Animals', 'Dogs', 'Death', 'Fiction', 'Religion']"
2,8,eng,0.0,"Arrianna Williams is an ordinary 25 yr. old woman or so she thinks. She has stumbled across a very special book and she soon sees just how special this book really is or at least she thinks she knows. The book comes to life and Arrianna is no longer reading the pages but is in the story herself.
Shortly after reading the book she runs into an old childhood friend Damian. She quickly falls for him but it doesn?t last long. Hurt; she finds comfort in another man. Thinking her life is completely normal, she soon finds out she has a special gift that puts her life in danger. An Archangel named Gabriel comes to her rescue but in turn things only get worse.
She is now being hunted for her gift and the man she sought comfort with is in desperate need of her to save his life. Meanwhile her feelings for Gabriel grow stronger as she wonders if he could be her true love.
Could this Angel ever love her the way she loves him? Will she defeat the fallen angel and demons after her? So many secrets so many lies and so much heartache will happen during her journey to discovering who she really is and what she was meant to do.",amazon.com,168.0,2012.0,https://www.goodreads.com/book/show/16037548-untold-secrets,https://images.gr-assets.com/books/1348183105m/16037548.jpg,Untold Secrets: Fire & Ice,Zabrina Murray,9781479174669,[]
3,10,eng,4.7,"Embrace the word of God with the inspirational book Understand God's Word - Walk in the Truth. This powerful look at the Lord's instructions and warnings before the day of judgment acts as His trumpet of the time of restoration. It is meant to help people understand God's word and follow the path of truth.
The Lord opened the first seal and sent His angel on the white horse to lead His army to restore the whole land. He sounded the trumpet and proclaimed that His time of restoration has come.
The Lord speaks to the people through the Holy Bible, to make them understand His word. He reveals all His commands to them, to make them walk in the truth. He leads the believers and the churches to repent, to forgive their sins. Ultimately, He is determined to bring back His chosen people and let them enter the kingdom of heaven.
Organized into forty different chapters, each chapter is divided into two parts: the first part consists of the Lord's instructions and warnings aimed at showing people how to ""walk in the truth,"" while the second part summarizes key passages of the Holy Bible to help readers truly understand God's word. Each chapter demonstrates how he who wishes to enter the kingdom of heaven must obey all of the Lord's commands, and how a thorough understanding of the Holy Bible is needed in order to do such.
Ms. Zhang Yun was called by the Lord to work on this book on February 22, 2012. The Lord revealed that He will raise up His faithful servants in the whole land to do His holy work together. She was commanded to share FREE eBook with the believers, which contains the first parts of all chapters. Readers may go to the official website walktruth.com to download it. If they would love to have paperback to read, they may purchase it on Amazon.com.",Amazon,412.0,2013.0,https://www.goodreads.com/book/show/18628482-understand-god-s-word---walk-in-the-truth,https://images.gr-assets.com/books/1380976928m/18628482.jpg,Understand God's Word - Walk in the Truth,Zhang  Yun,9781483985640,['Christian']
4,12,eng,3.99,"The funny and heartwarming story of a young lady whose zeal, snobbishness, and self-satisfaction lead to several errors in judgment
Emma takes Harriet Smith, a young woman previously unknown to good society, under her wing, scheming for her advancement through an advantageous marriage. Her efforts to find Harriet a suitor occupy all of Emma's time. However, in the midst of her often fumbled attempts, she settles on a most unlikely union with her own constant critic: Mr. Knightly.
This novel is part of Brilliance Audio's extensive Classic Collection, bringing you timeless masterpieces that you and your family are sure to love.",Brilliance Audio,544.0,2005.0,https://www.goodreads.com/book/show/3209316-emma,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Emma,Jane Austen,9781597371285,"['Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook', '19th Century', 'Classic Literature']"
5,14,eng,4.0,"""This critical, historical, and theoretical study looks at a little-known group of novels written during the 1930s by women who were literary radicals. Arguing that class consciousness was figured through metaphors of gender, Paula Rabinowitz challenges the conventional wisdom that feminism as a discourse disappeared during the decade. She focuses on the ways in which sexuality and maternity reconstruct the ""classic"" proletarian novel to speak about both the working-class woman and the radical female intellectual.""
--From the book, via Amazon",The University of North Carolina Press,236.0,1991.0,https://www.goodreads.com/book/show/13598461-labor-and-desire,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Labor and Desire: Women's Revolutionary Fiction in Depression America,Paula Rabinowitz,9780807843,[]
6,16,eng,4.5,"Elfin mercenaries, Lark and her brother Orin, hunt down a perfect pearl known as the Carp's Eye.",ZB Publications,100.0,2008.0,https://www.goodreads.com/book/show/13598465-faminelands,https://images.gr-assets.com/books/1334198117m/13598465.jpg,Faminelands: The Carp's Eye (Book 1),Elizabeth Guizzetti,9780980145984,[]
7,17,eng,3.45,"Restore, revamp, repair, and revitalize your home! Whether it's tiling a kitchen work surface or building a bedroom wardrobe, these projects will make a room more attractive and functional. Enhance comfort, increase storage space, introduce character into a setting--when you ""do-it-yourself,"" almost anything is possible. Construct a folding screen to divide a space into two areas or a bed with a storage drawer underneath. Replace cupboard doors, panel a bathroom with pine boarding, or install a wall of display shelving. Plus, 250 color photographs and ingenious ideas, including bathroom lighting and heating options, will open your eyes to potential improvements for your home. 256 pages (all in color), 9 1/2 x 11.",Conran,256.0,1999.0,https://www.goodreads.com/book/show/427479.Terence_Conran_s_DIY_By_Design,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Terence Conran's DIY By Design: Over 30 Projects To Make and More Than 100 Design Ideas For Every Room In Your Home,Terence Conran,9781850294603,"['Design', 'Nonfiction']"
8,24,eng,3.69,"An Amazon Best Book of the Year
A Goodreads Best Book of the Month
From the internationally bestselling author Catherine McKenzie comes an evocative tale of two women navigating the secrets and lies at the heart of a wildfire threatening their town.
After a decadelong career combating wildfires, Elizabeth has traded in her former life for a quieter one with her husband. Now she works as the local arson investigator in a beautiful, quaint town in the Rockies. But that tranquil life vanishes when she and her husband agree to divorce and a fire in nearby Cooper Basin begins to spread rapidly. For Elizabeth, containing a raging wildfire is easier than accepting that her marriage has failed.
For Elizabeth's ex-friend Mindy, who feels disconnected from her husband and teenage children, the fire represents a chance to find a new purpose: helping a man who has lost his home to the blaze. But her faith is shattered by a shocking accusation.
As the encroaching inferno threatens the town's residents, Elizabeth and Mindy must discover what will be lost in the fire, and what will be saved.",Lake Union,340.0,2015.0,https://www.goodreads.com/book/show/25317381-smoke,https://images.gr-assets.com/books/1432906129m/25317381.jpg,Smoke,Catherine McKenzie,9781503945654,"['Fiction', 'Chick Lit', 'Mystery', 'Contemporary', 'Womens Fiction', 'Suspense', 'Romance']"
9,26,eng,3.87,"""Michel Faber leads us back to 1870s London, where Sugar, a nineteen-year-old whore in the brothel of the terrifying Mrs. Castaway, yearns for escape into a better life. Her ascent through the strata of Victorian Society offers us intimacy with a host of lovable, maddening, unforgettable characters."" They begin with William Rackham, an egotistical perfume magnate whose ambition is fueled by his lust for Sugar, and whose patronage of her brings her into proximity to his extended family and milieu: his unhinged, child-like wife, Agnes; his mysteriously hidden-away daughter, Sophie; and his pious brother Henry, foiled in his devotional calling by a persistently less-than-chaste love for the Widow Fox, whose efforts on behalf of The Rescue Society lead Henry into ever-more disturbing confrontations with flesh.",Houghton Mifflin Harcourt,838.0,2002.0,https://www.goodreads.com/book/show/780911.The_Crimson_Petal_and_the_White,https://images.gr-assets.com/books/1408450862m/780911.jpg,The Crimson Petal and the White,Michel Faber,9780151006922,"['Historical Fiction', 'Fiction', 'Historical', 'Victorian', 'Romance', 'British Literature', 'Literary Fiction']"
