Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
To Kill a Mockingbird,Harper Lee,To Kill a Mockingbird (#1),"Maycomb, Alabama (United States, 1933), Alabama (United States)","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. """"To Kill A Mockingbird"""" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.  Compassionate, dramatic, and deeply moving, """"To Kill A Mockingbird"""" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.","Classics, Fiction, Historical Fiction, School, Literature, Young Adult, Historical","323 pages, Paperback","May 23, 2006 by Harper Perennial Modern Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657.jpg,"Scout Finch, Atticus Finch (The Sanibel Sunset Detective Returns), Jem Finch, Arthur Radley, Mayella Ewell, Aunt Alexandra, Bob Ewell, Calpurnia (housekeeper), Tom Robinson, Miss Maudie Atkinson, Judge John Taylor, Dill Harris, Heck Tate, Stephanie Crawford",,English
1984,George Orwell,,,A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality With a foreword by Thomas Pynchon With a foreword by Thomas Pynchon A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching View our feature on George Orwell s 1984 Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality This beautiful paperback edition features deckled edges and french flaps a perfect gift for any occasion  Alternate cover edition can be found .,"Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels","368 pages, Paperback","July 1, 2022 by Plume",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657781256i/61439040.jpg,"Big Brother, O'Brien, Emmanuel Goldstein, Tom Parsons, Syme, Julia, Mr. Charrington, Winston Smith",9780452284234 (ISBN10: 0452284236),English
The Great Gatsby,F. Scott Fitzgerald,,"New York City, New York (United States), New York (State) (United States), Long Island, New York (United States), The United States of America","The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted """"gin was the national drink and sex the national obsession,"""" it is an exquisitely crafted tale of America in the 1920s.  The Great Gatsby is one of the great classics of twentieth-century literature.  (from the back cover)","Classics, Fiction, School, Historical Fiction, Romance, Literature, Novels","180 pages, Paperback","January 1, 1925 by Scribner",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490528560i/4671.jpg,"Nick Carraway, Jay Gatsby, Daisy Buchanan, Tom Buchanan, Jordan Baker, Myrtle Wilson, Meyer Wolfsheim, George Wilson",,English
Harry Potter and the Sorcerer's Stone,J.K. Rowling,,,"Harry Potter has no idea how famous he is. That's because he's being raised by his miserable aunt and uncle who are terrified Harry will learn that he's really a wizard, just as his parents were. But everything changes when Harry is summoned to attend an infamous school for wizards, and he begins to discover some clues about his illustrious birthright. From the surprising way he is greeted by a lovable giant, to the unique curriculum and colorful faculty at his unusual school, Harry finds himself drawn deep inside a mystical world he never knew existed and closer to his own noble destiny.","Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook","309 pages, Hardcover","First published June 26, 1997",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3.jpg,,,
Animal Farm,George Orwell,,England,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here.  A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh.","Classics, Fiction, Dystopia, Fantasy, School, Literature, Science Fiction","141 pages, Mass Market Paperback","April 1, 1996 by Signet Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,"Snowball, Napoleon, Clover, Boxer, Old Major, Muriel, Squealer, Moses (Animal Farm), Benjamin, Mr. Jones (Animal Farm), Mollie (Animal Farm)",9780451526342 (ISBN10: 0451526341),English
The Hobbit,J.R.R. Tolkien,,,"In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort. Written for J.R.R. Tolkien’s own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text in this 372-page paperback edition is based on that first published in Great Britain by Collins Modern Classics (1998), and includes a note on the text by Douglas A. Anderson (2001).","Fantasy, Classics, Fiction, Adventure, Young Adult, High Fantasy, Science Fiction Fantasy","366 pages, Paperback","First published September 21, 1937",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907.jpg,,,
The Little Prince,Antoine de Saint-Exupéry,,,"A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. """"Please,"""" asks the stranger, """"draw me a sheep."""" And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fable that, in teaching the secret of what is really important in life, has changed forever the world for its readers.  Few stories are as widely read and as universally cherished by children and adults alike as , presented here in a stunning new translation with carefully restored artwork. The definitive edition of a worldwide classic, it will capture the hearts of readers of all ages.","Fiction, Fantasy, Childrens, France, Philosophy, Young Adult, Literature","96 pages, Paperback","June 29, 2000 by Harcourt, Inc.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993.jpg,,,English
Fahrenheit 451,Ray Bradbury,,,"Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.  Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.","Fiction, Science Fiction, Dystopia, Classics, School, Literature, Novels","194 pages, Kindle Edition","December 6, 2011 by Simon & Schuster",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982.jpg,"Guy Montag, Clarisse McClellan, Mildred Montag, Captain Beatty, Professor Faber, The Mechanical Hound",,English
The Catcher in the Rye,J.D. Salinger,,"New York City, New York (United States, 1949), Agerstown, Pennsylvania (United States, 1949)","It's Christmas time and Holden Caulfield has just been expelled from yet another school...  Fleeing the crooks at Pencey Prep, he pinballs around New York City seeking solace in fleeting encounters—shooting the bull with strangers in dive hotels, wandering alone round Central Park, getting beaten up by pimps and cut down by erstwhile girlfriends. The city is beautiful and terrible, in all its neon loneliness and seedy glamour, its mingled sense of possibility and emptiness. Holden passes through it like a ghost, thinking always of his kid sister Phoebe, the only person who really understands him, and his determination to escape the phonies and find a life of true meaning.  is an all-time classic in coming-of-age literature- an elegy to teenage alienation, capturing the deeply human need for connection and the bewildering sense of loss as we leave childhood behind.  (1919–2010) classic novel of teenage angst and rebellion was first published in 1951. The novel was included on 's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.","Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels","277 pages, Paperback","January 30, 2001 by Back Bay Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107.jpg,"Holden Caulfield, Robert Ackley, Stradlater, Phoebe Caulfield, Allie Caulfield, D.B Caulfield, Sally Hayes",9780316769174 (ISBN10: 0316769177),English
"The Lion, the Witch and the Wardrobe",C.S. Lewis,,,"Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.  Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first her brothers and sister don't believe her when she tells of her visit to the land of Narnia. But soon Edmund, then Peter and Susan step through the wardrobe themselves. In Narnia they find a country buried under the evil enchantment of the White Witch. When they meet the Lion Aslan, they realize they've been called to a great adventure and bravely join the battle to free Narnia from the Witch's sinister spell.","Fantasy, Fiction, Young Adult, Childrens, Classics, Middle Grade, Adventure","206 pages, Paperback","First published October 16, 1950",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915.jpg,,,
